timestamp,buyer,seller,symbol,currency,price,quantity,,,,Does Cross?
0,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
0,,,AMETHYSTS,SEASHELLS,9996,1,Sum,24440094,,TRUE
1500,,,AMETHYSTS,SEASHELLS,10004,1,Count,2444,,TRUE
2500,,,AMETHYSTS,SEASHELLS,9998,1,Average,10000.03846,,FALSE
3200,,,AMETHYSTS,SEASHELLS,9996,1,Median,10000,,FALSE
3300,,,AMETHYSTS,SEASHELLS,9995,2,Min,9995,,TRUE
3600,,,AMETHYSTS,SEASHELLS,10005,6,Max,10005,,TRUE
4000,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
4200,,,AMETHYSTS,SEASHELLS,10004,2,Cross Count,0,,FALSE
4200,,,AMETHYSTS,SEASHELLS,10004,1,,,,TRUE
6700,,,AMETHYSTS,SEASHELLS,9998,2,,46.27659574,%,TRUE
7400,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
7500,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
8600,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
8700,,,AMETHYSTS,SEASHELLS,10002,2,,,,FALSE
8800,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
9600,,,AMETHYSTS,SEASHELLS,10000,3,,,,TRUE
10100,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
10200,,,AMETHYSTS,SEASHELLS,9996,1,,,,TRUE
11100,,,AMETHYSTS,SEASHELLS,10005,2,,,,TRUE
13000,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
13600,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
13900,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
13900,,,AMETHYSTS,SEASHELLS,9996,1,,,,TRUE
14000,,,AMETHYSTS,SEASHELLS,10005,7,,,,FALSE
15100,,,AMETHYSTS,SEASHELLS,10005,4,,,,FALSE
15400,,,AMETHYSTS,SEASHELLS,10002,5,,,,FALSE
17300,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
18200,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
18300,,,AMETHYSTS,SEASHELLS,10005,2,,,,TRUE
18300,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
18500,,,AMETHYSTS,SEASHELLS,10005,5,,,,FALSE
19500,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
19600,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
19900,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
20200,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
20600,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
20600,,,AMETHYSTS,SEASHELLS,9995,9,,,,FALSE
20900,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
21300,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
22700,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
23000,,,AMETHYSTS,SEASHELLS,9998,4,,,,FALSE
23300,,,AMETHYSTS,SEASHELLS,9998,2,,,,FALSE
23900,,,AMETHYSTS,SEASHELLS,9998,3,,,,FALSE
23900,,,AMETHYSTS,SEASHELLS,9995,8,,,,TRUE
24300,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
24600,,,AMETHYSTS,SEASHELLS,9996,2,,,,FALSE
24600,,,AMETHYSTS,SEASHELLS,9996,2,,,,TRUE
25100,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
25600,,,AMETHYSTS,SEASHELLS,10004,2,,,,FALSE
25700,,,AMETHYSTS,SEASHELLS,10002,3,,,,FALSE
25700,,,AMETHYSTS,SEASHELLS,10002,8,,,,FALSE
26400,,,AMETHYSTS,SEASHELLS,10005,9,,,,FALSE
27000,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
27700,,,AMETHYSTS,SEASHELLS,9998,3,,,,FALSE
27700,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
27900,,,AMETHYSTS,SEASHELLS,10002,4,,,,FALSE
28000,,,AMETHYSTS,SEASHELLS,10005,1,,,,TRUE
28300,,,AMETHYSTS,SEASHELLS,9998,2,,,,FALSE
28300,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
28600,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
29400,,,AMETHYSTS,SEASHELLS,10005,2,,,,TRUE
29500,,,AMETHYSTS,SEASHELLS,9998,3,,,,FALSE
29500,,,AMETHYSTS,SEASHELLS,9998,2,,,,TRUE
30400,,,AMETHYSTS,SEASHELLS,10004,1,,,,FALSE
30400,,,AMETHYSTS,SEASHELLS,10004,6,,,,TRUE
31000,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
31300,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
31600,,,AMETHYSTS,SEASHELLS,10002,3,,,,FALSE
31800,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
32100,,,AMETHYSTS,SEASHELLS,10002,4,,,,FALSE
32500,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
32800,,,AMETHYSTS,SEASHELLS,9995,2,,,,FALSE
32800,,,AMETHYSTS,SEASHELLS,9996,2,,,,TRUE
33500,,,AMETHYSTS,SEASHELLS,10002,3,,,,TRUE
34000,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
34100,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
35600,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
36300,,,AMETHYSTS,SEASHELLS,10005,1,,,,FALSE
36500,,,AMETHYSTS,SEASHELLS,10005,4,,,,FALSE
37400,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
37900,,,AMETHYSTS,SEASHELLS,9995,4,,,,TRUE
38400,,,AMETHYSTS,SEASHELLS,10004,2,,,,FALSE
38500,,,AMETHYSTS,SEASHELLS,10002,6,,,,TRUE
38900,,,AMETHYSTS,SEASHELLS,9995,2,,,,TRUE
39100,,,AMETHYSTS,SEASHELLS,10002,5,,,,TRUE
39300,,,AMETHYSTS,SEASHELLS,9996,1,,,,TRUE
41500,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
41500,,,AMETHYSTS,SEASHELLS,10000,2,,,,TRUE
41600,,,AMETHYSTS,SEASHELLS,9995,1,,,,TRUE
42900,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
43100,,,AMETHYSTS,SEASHELLS,10005,2,,,,FALSE
43400,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
43700,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
43900,,,AMETHYSTS,SEASHELLS,10004,2,,,,TRUE
44000,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
44800,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
45100,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
45800,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
45800,,,AMETHYSTS,SEASHELLS,9996,10,,,,FALSE
46200,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
46300,,,AMETHYSTS,SEASHELLS,9995,1,,,,FALSE
46800,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
48300,,,AMETHYSTS,SEASHELLS,9995,1,,,,TRUE
48600,,,AMETHYSTS,SEASHELLS,10004,1,,,,FALSE
49300,,,AMETHYSTS,SEASHELLS,10005,1,,,,TRUE
49700,,,AMETHYSTS,SEASHELLS,9995,2,,,,FALSE
50200,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
50400,,,AMETHYSTS,SEASHELLS,9996,2,,,,FALSE
50900,,,AMETHYSTS,SEASHELLS,9996,2,,,,FALSE
51000,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
51600,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
51900,,,AMETHYSTS,SEASHELLS,10002,2,,,,TRUE
52000,,,AMETHYSTS,SEASHELLS,9998,2,,,,TRUE
52700,,,AMETHYSTS,SEASHELLS,10002,3,,,,TRUE
53000,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
53200,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
53300,,,AMETHYSTS,SEASHELLS,9998,2,,,,FALSE
53600,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
53700,,,AMETHYSTS,SEASHELLS,10004,2,,,,FALSE
53900,,,AMETHYSTS,SEASHELLS,10002,1,,,,TRUE
54300,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
54600,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
54600,,,AMETHYSTS,SEASHELLS,9996,5,,,,TRUE
54900,,,AMETHYSTS,SEASHELLS,10002,3,,,,FALSE
56100,,,AMETHYSTS,SEASHELLS,10004,1,,,,TRUE
56500,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
56700,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
57000,,,AMETHYSTS,SEASHELLS,10004,1,,,,FALSE
57100,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
57200,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
57300,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
57700,,,AMETHYSTS,SEASHELLS,10002,2,,,,TRUE
58400,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
58600,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
59500,,,AMETHYSTS,SEASHELLS,10005,4,,,,FALSE
59700,,,AMETHYSTS,SEASHELLS,10002,6,,,,TRUE
60200,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
60200,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
60300,,,AMETHYSTS,SEASHELLS,9996,6,,,,FALSE
60300,,,AMETHYSTS,SEASHELLS,9996,2,,,,FALSE
60400,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
60500,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
61100,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
61100,,,AMETHYSTS,SEASHELLS,10005,2,,,,FALSE
62300,,,AMETHYSTS,SEASHELLS,10004,1,,,,TRUE
63200,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
63300,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
63500,,,AMETHYSTS,SEASHELLS,9998,6,,,,FALSE
63700,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
64200,,,AMETHYSTS,SEASHELLS,9995,2,,,,TRUE
64500,,,AMETHYSTS,SEASHELLS,10005,2,,,,FALSE
64500,,,AMETHYSTS,SEASHELLS,10002,1,,,,FALSE
64900,,,AMETHYSTS,SEASHELLS,10005,2,,,,TRUE
65300,,,AMETHYSTS,SEASHELLS,9998,1,,,,TRUE
65300,,,AMETHYSTS,SEASHELLS,10000,2,,,,TRUE
65500,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
65600,,,AMETHYSTS,SEASHELLS,9995,1,,,,FALSE
65800,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
65900,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
66000,,,AMETHYSTS,SEASHELLS,9998,1,,,,FALSE
66700,,,AMETHYSTS,SEASHELLS,9998,2,,,,FALSE
67400,,,AMETHYSTS,SEASHELLS,9996,1,,,,FALSE
67900,,,AMETHYSTS,SEASHELLS,9998,2,,,,TRUE
